symbol,strategy,start,end,sessions,final_equity,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,longest_dd_sessions,worst_day,worst_week,worst_month,n_calls_written,n_called_away,final_shares
SPY,buyhold_drip,2018-08-01,2026-07-22,1990,170577.39,2.005,0.148,0.1846,0.7,0.88,-0.3465,0.43,484,-0.0796,-0.1316,-0.1064,0,0,228
SPY,naive_cc_reinvest,2018-08-01,2026-07-22,1990,161452.56,1.8442,0.1401,0.1717,0.7,0.84,-0.3408,0.41,492,-0.078,-0.1303,-0.1021,80,31,215
SPY,sweep_gated_cc_reinvest,2018-08-01,2026-07-22,1990,175916.81,2.099,0.1524,0.1795,0.74,0.91,-0.3424,0.45,483,-0.0796,-0.1296,-0.1061,56,19,235
QQQ,buyhold_drip,2018-08-01,2026-07-22,1977,150278.45,3.2022,0.1973,0.231,0.79,1.09,-0.3491,0.57,507,-0.0754,-0.1218,-0.1362,0,0,212
QQQ,naive_cc_reinvest,2018-08-01,2026-07-22,1977,115058.73,2.2174,0.1579,0.2072,0.7,0.9,-0.3443,0.46,509,-0.0718,-0.1147,-0.0987,76,31,162
QQQ,sweep_gated_cc_reinvest,2018-08-01,2026-07-22,1977,147513.07,3.1249,0.1945,0.2208,0.81,1.09,-0.3469,0.56,487,-0.0756,-0.1046,-0.1359,57,19,208
IWM,buyhold_drip,2018-08-01,2026-07-22,1948,65462.88,0.9554,0.0878,0.2474,0.37,0.52,-0.4258,0.21,717,-0.1,-0.1909,-0.2189,0,0,222
IWM,naive_cc_reinvest,2018-08-01,2026-07-22,1948,61695.71,0.8429,0.0797,0.2271,0.35,0.47,-0.4381,0.18,717,-0.0999,-0.1895,-0.215,80,19,210
IWM,sweep_gated_cc_reinvest,2018-08-01,2026-07-22,1948,66604.26,0.9895,0.0901,0.237,0.38,0.52,-0.4225,0.21,640,-0.0999,-0.1911,-0.2188,56,13,226
