symbol,strategy,start,end,sessions,final_equity,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,longest_dd_sessions,worst_day,worst_week,worst_month,n_calls_written,n_called_away,final_shares
SPY,buyhold_drip,2018-08-01,2026-07-22,1990,170577.39,2.005,0.148,0.1846,0.7,0.88,-0.3465,0.43,484,-0.0796,-0.1316,-0.1064,0,0,228
SPY,naive_cc_reinvest,2018-08-01,2026-07-22,1990,170772.83,2.0084,0.1481,0.1767,0.73,0.89,-0.3403,0.44,484,-0.0777,-0.1298,-0.1018,80,19,228
SPY,gated_cc_reinvest,2018-08-01,2026-07-22,1990,172890.45,2.0457,0.1499,0.1816,0.72,0.89,-0.3444,0.44,483,-0.0796,-0.1301,-0.106,65,10,231
QQQ,buyhold_drip,2018-08-01,2026-07-22,1977,150278.45,3.2022,0.1973,0.231,0.79,1.09,-0.3491,0.57,507,-0.0754,-0.1218,-0.1362,0,0,212
QQQ,naive_cc_reinvest,2018-08-01,2026-07-22,1977,130456.8,2.648,0.1762,0.2185,0.74,0.99,-0.3304,0.53,508,-0.0753,-0.1192,-0.1278,78,23,184
QQQ,gated_cc_reinvest,2018-08-01,2026-07-22,1977,153011.07,3.2787,0.2,0.2243,0.82,1.11,-0.3477,0.58,487,-0.0757,-0.1159,-0.1362,61,14,216
IWM,buyhold_drip,2018-08-01,2026-07-22,1948,65462.88,0.9554,0.0878,0.2474,0.37,0.52,-0.4258,0.21,717,-0.1,-0.1909,-0.2189,0,0,222
IWM,naive_cc_reinvest,2018-08-01,2026-07-22,1948,65504.06,0.9567,0.0878,0.2334,0.38,0.51,-0.4226,0.21,717,-0.0998,-0.191,-0.2154,79,13,223
IWM,gated_cc_reinvest,2018-08-01,2026-07-22,1948,67627.88,1.0201,0.0922,0.2426,0.39,0.54,-0.4229,0.22,717,-0.0999,-0.1911,-0.2187,52,5,230
