symbol,strategy,start,end,sessions,final_equity,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,longest_dd_sessions,worst_day,worst_week,worst_month,n_calls_written,n_called_away,final_shares
SPY,buyhold_drip,2018-08-01,2026-07-22,1990,170577.39,2.005,0.148,0.1846,0.7,0.88,-0.3465,0.43,484,-0.0796,-0.1316,-0.1064,0,0,228
SPY,naive_cc_reinvest,2018-08-01,2026-07-22,1990,161452.56,1.8442,0.1401,0.1717,0.7,0.84,-0.3408,0.41,492,-0.078,-0.1303,-0.1021,80,31,215
SPY,gated_cc_reinvest,2018-08-01,2026-07-22,1990,170699.85,2.0071,0.1481,0.1785,0.72,0.88,-0.3439,0.43,481,-0.0794,-0.1299,-0.1061,65,24,228
QQQ,buyhold_drip,2018-08-01,2026-07-22,1977,150278.45,3.2022,0.1973,0.231,0.79,1.09,-0.3491,0.57,507,-0.0754,-0.1218,-0.1362,0,0,212
QQQ,naive_cc_reinvest,2018-08-01,2026-07-22,1977,115058.73,2.2174,0.1579,0.2072,0.7,0.9,-0.3443,0.46,509,-0.0718,-0.1147,-0.0987,76,31,162
QQQ,gated_cc_reinvest,2018-08-01,2026-07-22,1977,149659.4,3.1849,0.1967,0.2196,0.82,1.1,-0.3434,0.57,486,-0.0754,-0.1114,-0.1359,62,24,211
IWM,buyhold_drip,2018-08-01,2026-07-22,1948,65462.88,0.9554,0.0878,0.2474,0.37,0.52,-0.4258,0.21,717,-0.1,-0.1909,-0.2189,0,0,222
IWM,naive_cc_reinvest,2018-08-01,2026-07-22,1948,61695.71,0.8429,0.0797,0.2271,0.35,0.47,-0.4381,0.18,717,-0.0999,-0.1895,-0.215,80,19,210
IWM,gated_cc_reinvest,2018-08-01,2026-07-22,1948,70152.63,1.0955,0.0972,0.239,0.41,0.56,-0.421,0.23,651,-0.0996,-0.1906,-0.2182,52,10,238
