preloaded 1977 session snapshots in 26s
no quotes for T0041 at 2023-08-24; mark is stale
no quotes for T0044 at 2023-11-15; mark is stale
no quotes for T0010 at 2020-06-23; mark is stale
no quotes for T0011 at 2020-06-23; mark is stale
T0019 expires today with no quotes; closing at intrinsic
no quotes for T0020 at 2021-01-05; mark is stale
no quotes for T0021 at 2021-01-05; mark is stale
T0026 expires today with no quotes; closing at intrinsic
no quotes for T0027 at 2021-07-21; mark is stale
no quotes for T0028 at 2021-08-05; mark is stale
no quotes for T0029 at 2021-08-05; mark is stale
no quotes for T0028 at 2021-08-06; mark is stale
no quotes for T0029 at 2021-08-06; mark is stale
no quotes for T0030 at 2021-09-10; mark is stale
no quotes for T0031 at 2021-09-10; mark is stale
no quotes for T0032 at 2021-11-17; mark is stale
no quotes for T0033 at 2021-11-17; mark is stale
no quotes for T0032 at 2021-11-19; mark is stale
no quotes for T0033 at 2021-11-19; mark is stale
no quotes for T0041 at 2023-08-24; mark is stale
no quotes for T0042 at 2023-08-24; mark is stale
no quotes for T0044 at 2023-12-28; mark is stale
no quotes for T0045 at 2023-12-28; mark is stale
no quotes for T0044 at 2023-12-29; mark is stale
no quotes for T0044 at 2024-01-02; mark is stale
no quotes for T0044 at 2024-01-03; mark is stale
no quotes for T0044 at 2024-01-04; mark is stale
no quotes for T0044 at 2024-01-05; mark is stale
no quotes for T0044 at 2024-01-08; mark is stale
no quotes for T0044 at 2024-01-09; mark is stale
no quotes for T0044 at 2024-01-10; mark is stale
no quotes for T0044 at 2024-01-11; mark is stale
no quotes for T0044 at 2024-01-12; mark is stale
no quotes for T0044 at 2024-01-16; mark is stale
no quotes for T0044 at 2024-01-17; mark is stale
no quotes for T0044 at 2024-01-18; mark is stale
T0044 expires today with no quotes; closing at intrinsic
T0065 expires today with no quotes; closing at intrinsic
no quotes for T0008 at 2020-06-23; mark is stale
no quotes for T0009 at 2020-06-23; mark is stale
T0017 expires today with no quotes; closing at intrinsic
no quotes for T0019 at 2021-01-05; mark is stale
no quotes for T0020 at 2021-01-05; mark is stale
no quotes for T0026 at 2021-06-01; mark is stale
T0027 expires today with no quotes; closing at intrinsic
no quotes for T0028 at 2021-07-21; mark is stale
no quotes for T0029 at 2021-08-05; mark is stale
no quotes for T0030 at 2021-08-05; mark is stale
no quotes for T0029 at 2021-08-06; mark is stale
no quotes for T0030 at 2021-08-06; mark is stale
no quotes for T0031 at 2021-09-10; mark is stale
no quotes for T0032 at 2021-09-10; mark is stale
no quotes for T0033 at 2021-11-17; mark is stale
no quotes for T0034 at 2021-11-17; mark is stale
no quotes for T0033 at 2021-11-19; mark is stale
no quotes for T0034 at 2021-11-19; mark is stale
no quotes for T0040 at 2023-08-24; mark is stale
no quotes for T0041 at 2023-08-24; mark is stale
no quotes for T0044 at 2023-12-28; mark is stale
no quotes for T0045 at 2023-12-28; mark is stale
T0010 expires today with no quotes; closing at intrinsic
no quotes for T0013 at 2021-06-01; mark is stale
no quotes for T0014 at 2021-06-01; mark is stale
no quotes for T0014 at 2021-06-14; mark is stale
no quotes for T0020 at 2023-08-24; mark is stale
no quotes for T0021 at 2023-08-24; mark is stale
no quotes for T0024 at 2023-11-15; mark is stale
no quotes for T0025 at 2023-11-15; mark is stale
no quotes for T0010 at 2020-06-23; mark is stale
no quotes for T0011 at 2020-06-23; mark is stale
T0019 expires today with no quotes; closing at intrinsic
T0020 expires today with no quotes; closing at intrinsic
no quotes for T0022 at 2021-01-05; mark is stale
no quotes for T0023 at 2021-01-05; mark is stale
no quotes for T0030 at 2021-07-21; mark is stale
no quotes for T0030 at 2021-08-05; mark is stale
no quotes for T0030 at 2021-08-06; mark is stale
no quotes for T0031 at 2021-09-10; mark is stale
no quotes for T0032 at 2021-09-10; mark is stale
no quotes for T0033 at 2021-11-17; mark is stale
no quotes for T0034 at 2021-11-17; mark is stale
no quotes for T0033 at 2021-11-19; mark is stale
no quotes for T0034 at 2021-11-19; mark is stale
