preloaded 1977 session snapshots in 26s
no quotes for T0025 at 2021-11-17; mark is stale
no quotes for T0024 at 2021-11-19; mark is stale
no quotes for T0025 at 2021-11-19; mark is stale
no quotes for T0031 at 2023-08-24; mark is stale
no quotes for T0032 at 2023-08-24; mark is stale
no quotes for T0004 at 2020-06-23; mark is stale
no quotes for T0005 at 2020-06-23; mark is stale
T0012 expires today with no quotes; closing at intrinsic
no quotes for T0014 at 2021-01-05; mark is stale
no quotes for T0015 at 2021-01-05; mark is stale
no quotes for T0018 at 2021-09-10; mark is stale
no quotes for T0019 at 2021-09-10; mark is stale
no quotes for T0028 at 2023-08-24; mark is stale
no quotes for T0029 at 2023-08-24; mark is stale
no quotes for T0003 at 2020-06-23; mark is stale
no quotes for T0004 at 2020-06-23; mark is stale
T0011 expires today with no quotes; closing at intrinsic
no quotes for T0013 at 2021-01-05; mark is stale
no quotes for T0014 at 2021-01-05; mark is stale
no quotes for T0017 at 2021-09-10; mark is stale
no quotes for T0018 at 2021-09-10; mark is stale
no quotes for T0025 at 2023-08-24; mark is stale
no quotes for T0026 at 2023-08-24; mark is stale
T0007 expires today with no quotes; closing at intrinsic
no quotes for T0012 at 2023-08-24; mark is stale
no quotes for T0013 at 2023-08-24; mark is stale
T0005 expires today with no quotes; closing at intrinsic
no quotes for T0009 at 2021-06-01; mark is stale
no quotes for T0010 at 2023-08-24; mark is stale
no quotes for T0011 at 2023-08-24; mark is stale
T0004 expires today with no quotes; closing at intrinsic
no quotes for T0005 at 2023-08-24; mark is stale
no quotes for T0006 at 2023-08-24; mark is stale
T0004 expires today with no quotes; closing at intrinsic
no quotes for T0005 at 2023-08-24; mark is stale
no quotes for T0006 at 2023-08-24; mark is stale
no quotes for T0010 at 2021-01-05; mark is stale
no quotes for T0011 at 2021-01-05; mark is stale
no quotes for T0014 at 2021-06-01; mark is stale
no quotes for T0015 at 2021-09-10; mark is stale
no quotes for T0016 at 2021-09-10; mark is stale
no quotes for T0017 at 2021-11-17; mark is stale
no quotes for T0018 at 2021-11-17; mark is stale
no quotes for T0017 at 2021-11-19; mark is stale
no quotes for T0018 at 2021-11-19; mark is stale
no quotes for T0023 at 2023-08-24; mark is stale
no quotes for T0024 at 2023-08-24; mark is stale
no quotes for T0026 at 2023-11-15; mark is stale
no quotes for T0007 at 2021-01-05; mark is stale
no quotes for T0008 at 2021-01-05; mark is stale
no quotes for T0011 at 2021-06-01; mark is stale
no quotes for T0012 at 2021-09-10; mark is stale
no quotes for T0013 at 2021-09-10; mark is stale
no quotes for T0014 at 2021-11-17; mark is stale
no quotes for T0015 at 2021-11-17; mark is stale
no quotes for T0014 at 2021-11-19; mark is stale
no quotes for T0015 at 2021-11-19; mark is stale
no quotes for T0019 at 2023-08-24; mark is stale
no quotes for T0020 at 2023-08-24; mark is stale
no quotes for T0005 at 2021-01-05; mark is stale
no quotes for T0006 at 2021-01-05; mark is stale
no quotes for T0007 at 2021-09-10; mark is stale
no quotes for T0008 at 2021-09-10; mark is stale
no quotes for T0014 at 2023-08-24; mark is stale
no quotes for T0015 at 2023-08-24; mark is stale
no quotes for T0004 at 2021-01-05; mark is stale
no quotes for T0005 at 2021-01-05; mark is stale
no quotes for T0006 at 2021-09-10; mark is stale
no quotes for T0007 at 2021-09-10; mark is stale
no quotes for T0012 at 2023-08-24; mark is stale
no quotes for T0013 at 2023-08-24; mark is stale
no quotes for T0007 at 2021-06-01; mark is stale
no quotes for T0008 at 2023-08-24; mark is stale
no quotes for T0009 at 2023-08-24; mark is stale
no quotes for T0010 at 2023-11-15; mark is stale
no quotes for T0005 at 2021-06-01; mark is stale
no quotes for T0006 at 2023-08-24; mark is stale
no quotes for T0007 at 2023-08-24; mark is stale
no quotes for T0001 at 2023-08-24; mark is stale
no quotes for T0002 at 2023-08-24; mark is stale
no quotes for T0001 at 2023-08-24; mark is stale
no quotes for T0002 at 2023-08-24; mark is stale
no quotes for T0009 at 2021-01-05; mark is stale
no quotes for T0010 at 2021-01-05; mark is stale
no quotes for T0013 at 2021-06-01; mark is stale
no quotes for T0014 at 2021-09-10; mark is stale
no quotes for T0015 at 2021-09-10; mark is stale
no quotes for T0016 at 2021-11-17; mark is stale
no quotes for T0017 at 2021-11-17; mark is stale
no quotes for T0016 at 2021-11-19; mark is stale
no quotes for T0017 at 2021-11-19; mark is stale
no quotes for T0022 at 2023-08-24; mark is stale
no quotes for T0023 at 2023-08-24; mark is stale
no quotes for T0005 at 2021-01-05; mark is stale
no quotes for T0006 at 2021-01-05; mark is stale
no quotes for T0009 at 2021-06-01; mark is stale
no quotes for T0010 at 2021-09-10; mark is stale
no quotes for T0011 at 2021-09-10; mark is stale
no quotes for T0012 at 2021-11-17; mark is stale
no quotes for T0013 at 2021-11-17; mark is stale
no quotes for T0012 at 2021-11-19; mark is stale
no quotes for T0013 at 2021-11-19; mark is stale
no quotes for T0017 at 2023-08-24; mark is stale
no quotes for T0018 at 2023-08-24; mark is stale
no quotes for T0004 at 2021-01-05; mark is stale
no quotes for T0005 at 2021-01-05; mark is stale
no quotes for T0006 at 2021-09-10; mark is stale
no quotes for T0007 at 2021-09-10; mark is stale
no quotes for T0013 at 2023-08-24; mark is stale
no quotes for T0014 at 2023-08-24; mark is stale
no quotes for T0003 at 2021-01-05; mark is stale
no quotes for T0004 at 2021-01-05; mark is stale
no quotes for T0005 at 2021-09-10; mark is stale
no quotes for T0006 at 2021-09-10; mark is stale
no quotes for T0011 at 2023-08-24; mark is stale
no quotes for T0012 at 2023-08-24; mark is stale
no quotes for T0006 at 2021-06-01; mark is stale
no quotes for T0007 at 2023-08-24; mark is stale
no quotes for T0008 at 2023-08-24; mark is stale
no quotes for T0004 at 2021-06-01; mark is stale
no quotes for T0005 at 2023-08-24; mark is stale
no quotes for T0006 at 2023-08-24; mark is stale
no quotes for T0001 at 2023-08-24; mark is stale
no quotes for T0002 at 2023-08-24; mark is stale
no quotes for T0001 at 2023-08-24; mark is stale
no quotes for T0002 at 2023-08-24; mark is stale
no quotes for T0010 at 2020-06-23; mark is stale
no quotes for T0011 at 2020-06-23; mark is stale
T0019 expires today with no quotes; closing at intrinsic
no quotes for T0020 at 2021-01-05; mark is stale
no quotes for T0021 at 2021-01-05; mark is stale
no quotes for T0027 at 2021-07-21; mark is stale
no quotes for T0027 at 2021-08-05; mark is stale
no quotes for T0027 at 2021-08-06; mark is stale
no quotes for T0028 at 2021-09-10; mark is stale
no quotes for T0029 at 2021-09-10; mark is stale
no quotes for T0030 at 2021-11-17; mark is stale
no quotes for T0031 at 2021-11-17; mark is stale
no quotes for T0030 at 2021-11-19; mark is stale
no quotes for T0031 at 2021-11-19; mark is stale
no quotes for T0039 at 2023-08-24; mark is stale
no quotes for T0040 at 2023-08-24; mark is stale
no quotes for T0043 at 2023-11-15; mark is stale
no quotes for T0005 at 2020-06-23; mark is stale
no quotes for T0006 at 2020-06-23; mark is stale
T0014 expires today with no quotes; closing at intrinsic
no quotes for T0015 at 2021-01-05; mark is stale
no quotes for T0016 at 2021-01-05; mark is stale
no quotes for T0022 at 2021-07-21; mark is stale
no quotes for T0022 at 2021-08-05; mark is stale
no quotes for T0022 at 2021-08-06; mark is stale
no quotes for T0023 at 2021-09-10; mark is stale
no quotes for T0024 at 2021-09-10; mark is stale
no quotes for T0025 at 2021-11-17; mark is stale
no quotes for T0026 at 2021-11-17; mark is stale
no quotes for T0025 at 2021-11-19; mark is stale
no quotes for T0026 at 2021-11-19; mark is stale
no quotes for T0032 at 2023-08-24; mark is stale
no quotes for T0033 at 2023-08-24; mark is stale
no quotes for T0004 at 2020-06-23; mark is stale
no quotes for T0005 at 2020-06-23; mark is stale
T0013 expires today with no quotes; closing at intrinsic
no quotes for T0014 at 2021-01-05; mark is stale
no quotes for T0015 at 2021-01-05; mark is stale
no quotes for T0019 at 2021-09-10; mark is stale
no quotes for T0020 at 2021-09-10; mark is stale
no quotes for T0029 at 2023-08-24; mark is stale
no quotes for T0030 at 2023-08-24; mark is stale
no quotes for T0003 at 2020-06-23; mark is stale
no quotes for T0004 at 2020-06-23; mark is stale
T0012 expires today with no quotes; closing at intrinsic
no quotes for T0013 at 2021-01-05; mark is stale
no quotes for T0014 at 2021-01-05; mark is stale
no quotes for T0018 at 2021-09-10; mark is stale
no quotes for T0019 at 2021-09-10; mark is stale
no quotes for T0026 at 2023-08-24; mark is stale
no quotes for T0027 at 2023-08-24; mark is stale
T0008 expires today with no quotes; closing at intrinsic
no quotes for T0011 at 2023-08-24; mark is stale
no quotes for T0012 at 2023-08-24; mark is stale
no quotes for T0015 at 2023-11-15; mark is stale
T0006 expires today with no quotes; closing at intrinsic
no quotes for T0009 at 2023-08-24; mark is stale
no quotes for T0010 at 2023-08-24; mark is stale
T0004 expires today with no quotes; closing at intrinsic
no quotes for T0005 at 2023-08-24; mark is stale
no quotes for T0006 at 2023-08-24; mark is stale
T0004 expires today with no quotes; closing at intrinsic
no quotes for T0005 at 2023-08-24; mark is stale
no quotes for T0006 at 2023-08-24; mark is stale
no quotes for T0009 at 2020-06-23; mark is stale
no quotes for T0010 at 2020-06-23; mark is stale
T0017 expires today with no quotes; closing at intrinsic
no quotes for T0018 at 2021-01-05; mark is stale
no quotes for T0019 at 2021-01-05; mark is stale
no quotes for T0024 at 2021-09-10; mark is stale
no quotes for T0025 at 2021-09-10; mark is stale
no quotes for T0026 at 2021-11-17; mark is stale
no quotes for T0027 at 2021-11-17; mark is stale
no quotes for T0026 at 2021-11-19; mark is stale
no quotes for T0027 at 2021-11-19; mark is stale
no quotes for T0035 at 2023-08-24; mark is stale
no quotes for T0036 at 2023-08-24; mark is stale
no quotes for T0004 at 2020-06-23; mark is stale
no quotes for T0005 at 2020-06-23; mark is stale
T0012 expires today with no quotes; closing at intrinsic
no quotes for T0013 at 2021-01-05; mark is stale
no quotes for T0014 at 2021-01-05; mark is stale
no quotes for T0019 at 2021-09-10; mark is stale
no quotes for T0020 at 2021-09-10; mark is stale
no quotes for T0021 at 2021-11-17; mark is stale
no quotes for T0022 at 2021-11-17; mark is stale
no quotes for T0021 at 2021-11-19; mark is stale
no quotes for T0022 at 2021-11-19; mark is stale
no quotes for T0028 at 2023-08-24; mark is stale
no quotes for T0029 at 2023-08-24; mark is stale
no quotes for T0004 at 2020-06-23; mark is stale
no quotes for T0005 at 2020-06-23; mark is stale
T0012 expires today with no quotes; closing at intrinsic
no quotes for T0013 at 2021-01-05; mark is stale
no quotes for T0014 at 2021-01-05; mark is stale
no quotes for T0017 at 2021-09-10; mark is stale
no quotes for T0018 at 2021-09-10; mark is stale
no quotes for T0027 at 2023-08-24; mark is stale
no quotes for T0028 at 2023-08-24; mark is stale
no quotes for T0003 at 2020-06-23; mark is stale
no quotes for T0004 at 2020-06-23; mark is stale
T0011 expires today with no quotes; closing at intrinsic
no quotes for T0012 at 2021-01-05; mark is stale
no quotes for T0013 at 2021-01-05; mark is stale
no quotes for T0016 at 2021-09-10; mark is stale
no quotes for T0017 at 2021-09-10; mark is stale
no quotes for T0024 at 2023-08-24; mark is stale
no quotes for T0025 at 2023-08-24; mark is stale
T0007 expires today with no quotes; closing at intrinsic
no quotes for T0010 at 2023-08-24; mark is stale
no quotes for T0011 at 2023-08-24; mark is stale
T0005 expires today with no quotes; closing at intrinsic
no quotes for T0008 at 2023-08-24; mark is stale
no quotes for T0009 at 2023-08-24; mark is stale
T0004 expires today with no quotes; closing at intrinsic
no quotes for T0005 at 2023-08-24; mark is stale
no quotes for T0006 at 2023-08-24; mark is stale
T0004 expires today with no quotes; closing at intrinsic
no quotes for T0005 at 2023-08-24; mark is stale
no quotes for T0006 at 2023-08-24; mark is stale
no quotes for T0009 at 2021-01-05; mark is stale
no quotes for T0010 at 2021-01-05; mark is stale
no quotes for T0013 at 2021-09-10; mark is stale
no quotes for T0014 at 2021-09-10; mark is stale
no quotes for T0015 at 2021-11-17; mark is stale
no quotes for T0016 at 2021-11-17; mark is stale
no quotes for T0015 at 2021-11-19; mark is stale
no quotes for T0016 at 2021-11-19; mark is stale
no quotes for T0021 at 2023-08-24; mark is stale
no quotes for T0022 at 2023-08-24; mark is stale
no quotes for T0024 at 2023-11-15; mark is stale
no quotes for T0006 at 2021-01-05; mark is stale
no quotes for T0007 at 2021-01-05; mark is stale
no quotes for T0010 at 2021-09-10; mark is stale
no quotes for T0011 at 2021-09-10; mark is stale
no quotes for T0012 at 2021-11-17; mark is stale
no quotes for T0013 at 2021-11-17; mark is stale
no quotes for T0012 at 2021-11-19; mark is stale
no quotes for T0013 at 2021-11-19; mark is stale
no quotes for T0017 at 2023-08-24; mark is stale
no quotes for T0018 at 2023-08-24; mark is stale
no quotes for T0005 at 2021-01-05; mark is stale
no quotes for T0006 at 2021-01-05; mark is stale
no quotes for T0007 at 2021-09-10; mark is stale
no quotes for T0008 at 2021-09-10; mark is stale
no quotes for T0014 at 2023-08-24; mark is stale
no quotes for T0015 at 2023-08-24; mark is stale
no quotes for T0004 at 2021-01-05; mark is stale
no quotes for T0005 at 2021-01-05; mark is stale
no quotes for T0006 at 2021-09-10; mark is stale
no quotes for T0007 at 2021-09-10; mark is stale
no quotes for T0012 at 2023-08-24; mark is stale
no quotes for T0013 at 2023-08-24; mark is stale
no quotes for T0007 at 2023-08-24; mark is stale
no quotes for T0008 at 2023-08-24; mark is stale
no quotes for T0009 at 2023-11-15; mark is stale
no quotes for T0005 at 2023-08-24; mark is stale
no quotes for T0006 at 2023-08-24; mark is stale
no quotes for T0001 at 2023-08-24; mark is stale
no quotes for T0002 at 2023-08-24; mark is stale
no quotes for T0001 at 2023-08-24; mark is stale
no quotes for T0002 at 2023-08-24; mark is stale
no quotes for T0008 at 2021-01-05; mark is stale
no quotes for T0009 at 2021-01-05; mark is stale
no quotes for T0012 at 2021-09-10; mark is stale
no quotes for T0013 at 2021-09-10; mark is stale
no quotes for T0014 at 2021-11-17; mark is stale
no quotes for T0015 at 2021-11-17; mark is stale
no quotes for T0014 at 2021-11-19; mark is stale
no quotes for T0015 at 2021-11-19; mark is stale
no quotes for T0020 at 2023-08-24; mark is stale
no quotes for T0021 at 2023-08-24; mark is stale
no quotes for T0004 at 2021-01-05; mark is stale
no quotes for T0005 at 2021-01-05; mark is stale
no quotes for T0008 at 2021-09-10; mark is stale
no quotes for T0009 at 2021-09-10; mark is stale
no quotes for T0010 at 2021-11-17; mark is stale
no quotes for T0011 at 2021-11-17; mark is stale
no quotes for T0010 at 2021-11-19; mark is stale
no quotes for T0011 at 2021-11-19; mark is stale
no quotes for T0015 at 2023-08-24; mark is stale
no quotes for T0016 at 2023-08-24; mark is stale
no quotes for T0004 at 2021-01-05; mark is stale
no quotes for T0005 at 2021-01-05; mark is stale
no quotes for T0006 at 2021-09-10; mark is stale
no quotes for T0007 at 2021-09-10; mark is stale
no quotes for T0013 at 2023-08-24; mark is stale
no quotes for T0014 at 2023-08-24; mark is stale
no quotes for T0003 at 2021-01-05; mark is stale
no quotes for T0004 at 2021-01-05; mark is stale
no quotes for T0005 at 2021-09-10; mark is stale
no quotes for T0006 at 2021-09-10; mark is stale
no quotes for T0011 at 2023-08-24; mark is stale
no quotes for T0012 at 2023-08-24; mark is stale
no quotes for T0006 at 2023-08-24; mark is stale
no quotes for T0007 at 2023-08-24; mark is stale
no quotes for T0004 at 2023-08-24; mark is stale
no quotes for T0005 at 2023-08-24; mark is stale
no quotes for T0001 at 2023-08-24; mark is stale
no quotes for T0002 at 2023-08-24; mark is stale
no quotes for T0001 at 2023-08-24; mark is stale
no quotes for T0002 at 2023-08-24; mark is stale
no quotes for T0010 at 2021-01-05; mark is stale
no quotes for T0011 at 2021-01-05; mark is stale
no quotes for T0017 at 2021-06-01; mark is stale
no quotes for T0018 at 2021-07-21; mark is stale
no quotes for T0018 at 2021-08-05; mark is stale
no quotes for T0018 at 2021-08-06; mark is stale
no quotes for T0019 at 2021-09-10; mark is stale
no quotes for T0020 at 2021-09-10; mark is stale
no quotes for T0021 at 2021-11-17; mark is stale
no quotes for T0022 at 2021-11-17; mark is stale
no quotes for T0021 at 2021-11-19; mark is stale
no quotes for T0022 at 2021-11-19; mark is stale
no quotes for T0029 at 2023-11-15; mark is stale
no quotes for T0007 at 2021-01-05; mark is stale
no quotes for T0008 at 2021-01-05; mark is stale
no quotes for T0014 at 2021-06-01; mark is stale
no quotes for T0015 at 2021-07-21; mark is stale
no quotes for T0015 at 2021-08-05; mark is stale
no quotes for T0015 at 2021-08-06; mark is stale
no quotes for T0016 at 2021-09-10; mark is stale
no quotes for T0017 at 2021-09-10; mark is stale
no quotes for T0018 at 2021-11-17; mark is stale
no quotes for T0019 at 2021-11-17; mark is stale
no quotes for T0018 at 2021-11-19; mark is stale
no quotes for T0019 at 2021-11-19; mark is stale
no quotes for T0005 at 2021-01-05; mark is stale
no quotes for T0006 at 2021-01-05; mark is stale
no quotes for T0010 at 2021-09-10; mark is stale
no quotes for T0011 at 2021-09-10; mark is stale
no quotes for T0004 at 2021-01-05; mark is stale
no quotes for T0005 at 2021-01-05; mark is stale
no quotes for T0009 at 2021-09-10; mark is stale
no quotes for T0010 at 2021-09-10; mark is stale
no quotes for T0007 at 2021-06-01; mark is stale
no quotes for T0008 at 2023-08-24; mark is stale
no quotes for T0010 at 2023-11-15; mark is stale
no quotes for T0005 at 2021-06-01; mark is stale
no quotes for T0006 at 2023-08-24; mark is stale
no quotes for T0001 at 2023-08-24; mark is stale
no quotes for T0001 at 2023-08-24; mark is stale
no quotes for T0009 at 2021-01-05; mark is stale
no quotes for T0010 at 2021-01-05; mark is stale
no quotes for T0014 at 2021-06-01; mark is stale
no quotes for T0015 at 2021-09-10; mark is stale
no quotes for T0016 at 2021-09-10; mark is stale
no quotes for T0017 at 2021-11-17; mark is stale
no quotes for T0018 at 2021-11-17; mark is stale
no quotes for T0017 at 2021-11-19; mark is stale
no quotes for T0018 at 2021-11-19; mark is stale
no quotes for T0005 at 2021-01-05; mark is stale
no quotes for T0006 at 2021-01-05; mark is stale
no quotes for T0010 at 2021-06-01; mark is stale
no quotes for T0011 at 2021-09-10; mark is stale
no quotes for T0012 at 2021-09-10; mark is stale
no quotes for T0013 at 2021-11-17; mark is stale
no quotes for T0014 at 2021-11-17; mark is stale
no quotes for T0013 at 2021-11-19; mark is stale
no quotes for T0014 at 2021-11-19; mark is stale
no quotes for T0004 at 2021-01-05; mark is stale
no quotes for T0005 at 2021-01-05; mark is stale
no quotes for T0007 at 2021-09-10; mark is stale
no quotes for T0008 at 2021-09-10; mark is stale
no quotes for T0003 at 2021-01-05; mark is stale
no quotes for T0004 at 2021-01-05; mark is stale
no quotes for T0006 at 2021-09-10; mark is stale
no quotes for T0007 at 2021-09-10; mark is stale
no quotes for T0006 at 2021-06-01; mark is stale
no quotes for T0007 at 2023-08-24; mark is stale
no quotes for T0004 at 2021-06-01; mark is stale
no quotes for T0005 at 2023-08-24; mark is stale
no quotes for T0001 at 2023-08-24; mark is stale
no quotes for T0001 at 2023-08-24; mark is stale
no quotes for T0010 at 2021-01-05; mark is stale
no quotes for T0011 at 2021-01-05; mark is stale
no quotes for T0014 at 2021-06-01; mark is stale
no quotes for T0015 at 2021-09-10; mark is stale
no quotes for T0016 at 2021-09-10; mark is stale
no quotes for T0017 at 2021-11-17; mark is stale
no quotes for T0018 at 2021-11-17; mark is stale
no quotes for T0017 at 2021-11-19; mark is stale
no quotes for T0018 at 2021-11-19; mark is stale
no quotes for T0023 at 2023-08-24; mark is stale
no quotes for T0024 at 2023-11-15; mark is stale
no quotes for T0007 at 2021-01-05; mark is stale
no quotes for T0008 at 2021-01-05; mark is stale
no quotes for T0011 at 2021-06-01; mark is stale
no quotes for T0012 at 2021-09-10; mark is stale
no quotes for T0013 at 2021-09-10; mark is stale
no quotes for T0014 at 2021-11-17; mark is stale
no quotes for T0015 at 2021-11-17; mark is stale
no quotes for T0014 at 2021-11-19; mark is stale
no quotes for T0015 at 2021-11-19; mark is stale
no quotes for T0019 at 2023-08-24; mark is stale
no quotes for T0005 at 2021-01-05; mark is stale
no quotes for T0006 at 2021-01-05; mark is stale
no quotes for T0007 at 2021-09-10; mark is stale
no quotes for T0008 at 2021-09-10; mark is stale
no quotes for T0014 at 2023-08-24; mark is stale
no quotes for T0004 at 2021-01-05; mark is stale
no quotes for T0005 at 2021-01-05; mark is stale
no quotes for T0006 at 2021-09-10; mark is stale
no quotes for T0007 at 2021-09-10; mark is stale
no quotes for T0012 at 2023-08-24; mark is stale
no quotes for T0007 at 2021-06-01; mark is stale
no quotes for T0008 at 2023-08-24; mark is stale
no quotes for T0009 at 2023-11-15; mark is stale
no quotes for T0005 at 2021-06-01; mark is stale
no quotes for T0006 at 2023-08-24; mark is stale
no quotes for T0001 at 2023-08-24; mark is stale
no quotes for T0001 at 2023-08-24; mark is stale
no quotes for T0009 at 2021-01-05; mark is stale
no quotes for T0010 at 2021-01-05; mark is stale
no quotes for T0013 at 2021-06-01; mark is stale
no quotes for T0014 at 2021-09-10; mark is stale
no quotes for T0015 at 2021-09-10; mark is stale
no quotes for T0016 at 2021-11-17; mark is stale
no quotes for T0017 at 2021-11-17; mark is stale
no quotes for T0016 at 2021-11-19; mark is stale
no quotes for T0017 at 2021-11-19; mark is stale
no quotes for T0022 at 2023-08-24; mark is stale
no quotes for T0005 at 2021-01-05; mark is stale
no quotes for T0006 at 2021-01-05; mark is stale
no quotes for T0009 at 2021-06-01; mark is stale
no quotes for T0010 at 2021-09-10; mark is stale
no quotes for T0011 at 2021-09-10; mark is stale
no quotes for T0012 at 2021-11-17; mark is stale
no quotes for T0013 at 2021-11-17; mark is stale
no quotes for T0012 at 2021-11-19; mark is stale
no quotes for T0013 at 2021-11-19; mark is stale
no quotes for T0017 at 2023-08-24; mark is stale
no quotes for T0004 at 2021-01-05; mark is stale
no quotes for T0005 at 2021-01-05; mark is stale
no quotes for T0006 at 2021-09-10; mark is stale
no quotes for T0007 at 2021-09-10; mark is stale
no quotes for T0013 at 2023-08-24; mark is stale
no quotes for T0003 at 2021-01-05; mark is stale
no quotes for T0004 at 2021-01-05; mark is stale
no quotes for T0005 at 2021-09-10; mark is stale
no quotes for T0006 at 2021-09-10; mark is stale
no quotes for T0011 at 2023-08-24; mark is stale
no quotes for T0006 at 2021-06-01; mark is stale
no quotes for T0007 at 2023-08-24; mark is stale
no quotes for T0004 at 2021-06-01; mark is stale
no quotes for T0005 at 2023-08-24; mark is stale
no quotes for T0001 at 2023-08-24; mark is stale
no quotes for T0001 at 2023-08-24; mark is stale
no quotes for T0009 at 2021-01-05; mark is stale
no quotes for T0010 at 2021-01-05; mark is stale
no quotes for T0016 at 2021-07-21; mark is stale
no quotes for T0016 at 2021-08-05; mark is stale
no quotes for T0016 at 2021-08-06; mark is stale
no quotes for T0017 at 2021-09-10; mark is stale
no quotes for T0018 at 2021-09-10; mark is stale
no quotes for T0019 at 2021-11-17; mark is stale
no quotes for T0020 at 2021-11-17; mark is stale
no quotes for T0019 at 2021-11-19; mark is stale
no quotes for T0020 at 2021-11-19; mark is stale
no quotes for T0027 at 2023-11-15; mark is stale
no quotes for T0006 at 2021-01-05; mark is stale
no quotes for T0007 at 2021-01-05; mark is stale
no quotes for T0013 at 2021-07-21; mark is stale
no quotes for T0013 at 2021-08-05; mark is stale
no quotes for T0013 at 2021-08-06; mark is stale
no quotes for T0014 at 2021-09-10; mark is stale
no quotes for T0015 at 2021-09-10; mark is stale
no quotes for T0016 at 2021-11-17; mark is stale
no quotes for T0017 at 2021-11-17; mark is stale
no quotes for T0016 at 2021-11-19; mark is stale
no quotes for T0017 at 2021-11-19; mark is stale
no quotes for T0005 at 2021-01-05; mark is stale
no quotes for T0006 at 2021-01-05; mark is stale
no quotes for T0010 at 2021-09-10; mark is stale
no quotes for T0011 at 2021-09-10; mark is stale
no quotes for T0004 at 2021-01-05; mark is stale
no quotes for T0005 at 2021-01-05; mark is stale
no quotes for T0009 at 2021-09-10; mark is stale
no quotes for T0010 at 2021-09-10; mark is stale
no quotes for T0007 at 2023-08-24; mark is stale
no quotes for T0009 at 2023-11-15; mark is stale
no quotes for T0005 at 2023-08-24; mark is stale
no quotes for T0001 at 2023-08-24; mark is stale
no quotes for T0001 at 2023-08-24; mark is stale
no quotes for T0008 at 2021-01-05; mark is stale
no quotes for T0009 at 2021-01-05; mark is stale
no quotes for T0013 at 2021-09-10; mark is stale
no quotes for T0014 at 2021-09-10; mark is stale
no quotes for T0015 at 2021-11-17; mark is stale
no quotes for T0016 at 2021-11-17; mark is stale
no quotes for T0015 at 2021-11-19; mark is stale
no quotes for T0016 at 2021-11-19; mark is stale
no quotes for T0004 at 2021-01-05; mark is stale
no quotes for T0005 at 2021-01-05; mark is stale
no quotes for T0009 at 2021-09-10; mark is stale
no quotes for T0010 at 2021-09-10; mark is stale
no quotes for T0011 at 2021-11-17; mark is stale
no quotes for T0012 at 2021-11-17; mark is stale
no quotes for T0011 at 2021-11-19; mark is stale
no quotes for T0012 at 2021-11-19; mark is stale
no quotes for T0004 at 2021-01-05; mark is stale
no quotes for T0005 at 2021-01-05; mark is stale
no quotes for T0007 at 2021-09-10; mark is stale
no quotes for T0008 at 2021-09-10; mark is stale
no quotes for T0003 at 2021-01-05; mark is stale
no quotes for T0004 at 2021-01-05; mark is stale
no quotes for T0006 at 2021-09-10; mark is stale
no quotes for T0007 at 2021-09-10; mark is stale
no quotes for T0006 at 2023-08-24; mark is stale
no quotes for T0004 at 2023-08-24; mark is stale
no quotes for T0001 at 2023-08-24; mark is stale
no quotes for T0001 at 2023-08-24; mark is stale
no quotes for T0009 at 2021-01-05; mark is stale
no quotes for T0010 at 2021-01-05; mark is stale
no quotes for T0013 at 2021-09-10; mark is stale
no quotes for T0014 at 2021-09-10; mark is stale
no quotes for T0015 at 2021-11-17; mark is stale
no quotes for T0016 at 2021-11-17; mark is stale
no quotes for T0015 at 2021-11-19; mark is stale
no quotes for T0016 at 2021-11-19; mark is stale
no quotes for T0021 at 2023-08-24; mark is stale
no quotes for T0022 at 2023-11-15; mark is stale
no quotes for T0006 at 2021-01-05; mark is stale
no quotes for T0007 at 2021-01-05; mark is stale
no quotes for T0010 at 2021-09-10; mark is stale
no quotes for T0011 at 2021-09-10; mark is stale
no quotes for T0012 at 2021-11-17; mark is stale
no quotes for T0013 at 2021-11-17; mark is stale
no quotes for T0012 at 2021-11-19; mark is stale
no quotes for T0013 at 2021-11-19; mark is stale
no quotes for T0017 at 2023-08-24; mark is stale
no quotes for T0005 at 2021-01-05; mark is stale
no quotes for T0006 at 2021-01-05; mark is stale
no quotes for T0007 at 2021-09-10; mark is stale
no quotes for T0008 at 2021-09-10; mark is stale
no quotes for T0014 at 2023-08-24; mark is stale
no quotes for T0004 at 2021-01-05; mark is stale
no quotes for T0005 at 2021-01-05; mark is stale
no quotes for T0006 at 2021-09-10; mark is stale
no quotes for T0007 at 2021-09-10; mark is stale
no quotes for T0012 at 2023-08-24; mark is stale
no quotes for T0007 at 2023-08-24; mark is stale
no quotes for T0008 at 2023-11-15; mark is stale
no quotes for T0005 at 2023-08-24; mark is stale
no quotes for T0001 at 2023-08-24; mark is stale
no quotes for T0001 at 2023-08-24; mark is stale
no quotes for T0008 at 2021-01-05; mark is stale
no quotes for T0009 at 2021-01-05; mark is stale
no quotes for T0012 at 2021-09-10; mark is stale
no quotes for T0013 at 2021-09-10; mark is stale
no quotes for T0014 at 2021-11-17; mark is stale
no quotes for T0015 at 2021-11-17; mark is stale
no quotes for T0014 at 2021-11-19; mark is stale
no quotes for T0015 at 2021-11-19; mark is stale
no quotes for T0020 at 2023-08-24; mark is stale
no quotes for T0004 at 2021-01-05; mark is stale
no quotes for T0005 at 2021-01-05; mark is stale
no quotes for T0008 at 2021-09-10; mark is stale
