symbol,feature,target,n,ic_train,ci_lo,ci_hi,ic_valid,significant,stable
SPY,rv_10,fwd21_tail,1113,0.05,-0.082,0.16,0.004,False,False
SPY,rv_10,fwd21_rv,1113,0.337,0.143,0.487,-0.021,True,False
SPY,rv_20,fwd21_ret,1113,0.223,0.052,0.412,0.218,True,True
SPY,rv_20,fwd21_tail,1113,0.058,-0.079,0.184,-0.004,False,False
SPY,rv_20,fwd21_rv,1113,0.325,0.125,0.511,-0.046,True,False
SPY,rv_5,fwd21_ret,1113,0.196,0.053,0.36,0.197,True,True
SPY,rv_5,fwd21_tail,1113,0.064,-0.05,0.158,-0.01,False,False
SPY,rv_5,fwd21_rv,1113,0.313,0.149,0.444,-0.024,True,False
SPY,rv_60,fwd21_ret,1113,0.255,0.068,0.433,0.254,True,True
SPY,rv_60,fwd21_tail,1113,0.003,-0.169,0.177,-0.019,False,False
SPY,rv_60,fwd21_rv,1113,0.212,-0.051,0.438,-0.023,False,False
SPY,spy_lqd_corr_60,fwd21_ret,1113,0.179,0.008,0.363,-0.041,True,False
SPY,spy_lqd_corr_60,fwd21_tail,1113,-0.06,-0.254,0.139,0.177,False,False
SPY,spy_lqd_corr_60,fwd21_rv,1113,0.143,-0.171,0.41,0.31,False,False
SPY,spy_rsp_ratio_z60,fwd21_ret,1113,-0.074,-0.226,0.095,0.035,False,False
SPY,spy_rsp_ratio_z60,fwd21_tail,1113,0.046,-0.096,0.203,0.051,False,False
SPY,spy_rsp_ratio_z60,fwd21_rv,1113,0.1,-0.121,0.33,-0.001,False,False
SPY,spy_rsp_ret20_diff,fwd21_ret,1113,0.002,-0.162,0.171,0.092,False,False
SPY,spy_rsp_ret20_diff,fwd21_tail,1113,0.03,-0.106,0.161,0.136,False,False
SPY,spy_rsp_ret20_diff,fwd21_rv,1113,0.022,-0.157,0.211,-0.044,False,False
SPY,spy_rsp_ret60_diff,fwd21_ret,1113,-0.137,-0.306,0.067,0.005,False,False
SPY,spy_rsp_ret60_diff,fwd21_tail,1113,0.134,-0.021,0.289,0.004,False,False
SPY,spy_rsp_ret60_diff,fwd21_rv,1113,0.149,-0.1,0.383,-0.151,False,False
SPY,vix9d_vix_ratio,fwd21_ret,1113,0.144,0.039,0.274,0.209,True,True
SPY,vix9d_vix_ratio,fwd21_tail,1113,0.048,-0.05,0.133,-0.01,False,False
SPY,vix9d_vix_ratio,fwd21_rv,1113,0.205,0.041,0.338,0.068,True,True
SPY,vix_chg_20d,fwd21_ret,1113,0.081,-0.043,0.213,0.11,False,False
SPY,vix_chg_20d,fwd21_tail,1113,-0.031,-0.17,0.108,-0.059,False,False
SPY,vix_chg_20d,fwd21_rv,1113,0.07,-0.119,0.235,-0.094,False,False
SPY,vix_chg_5d,fwd21_ret,1113,-0.02,-0.098,0.069,0.026,False,False
SPY,vix_chg_5d,fwd21_tail,1113,-0.011,-0.106,0.081,-0.005,False,False
SPY,vix_chg_5d,fwd21_rv,1113,0.002,-0.099,0.087,0.012,False,False
SPY,vix_level,fwd21_ret,1113,0.282,0.129,0.452,0.164,True,True
SPY,vix_level,fwd21_tail,1113,-0.041,-0.177,0.067,-0.038,False,False
SPY,vix_level,fwd21_rv,1113,0.328,0.101,0.511,-0.029,True,False
SPY,vix_pct_252,fwd21_ret,1113,0.103,-0.052,0.293,0.127,False,False
SPY,vix_pct_252,fwd21_tail,1113,0.135,0.01,0.244,-0.128,True,False
SPY,vix_pct_252,fwd21_rv,1113,0.419,0.243,0.558,-0.076,True,False
SPY,vol_of_vol_20,fwd21_ret,1113,0.13,-0.022,0.291,0.27,False,False
SPY,vol_of_vol_20,fwd21_tail,1113,-0.001,-0.135,0.127,-0.133,False,False
SPY,vol_of_vol_20,fwd21_rv,1113,-0.017,-0.208,0.168,-0.132,False,False
SPY,vvix_level,fwd21_ret,1113,0.146,-0.027,0.328,0.107,False,False
SPY,vvix_level,fwd21_tail,1113,-0.094,-0.238,0.021,-0.099,False,False
SPY,vvix_level,fwd21_rv,1113,0.106,-0.143,0.305,-0.154,False,False
