run_id,hyp,symbol,scenario,params,cagr,ann_vol,sharpe,max_drawdown,final_equity,n_trades,win_rate,avg_win,avg_loss,profit_factor,ev_per_trade,total_pnl,worst_trade,best_trade,median_holding_days,util,yearly
H2_SPY_base_a884a0ea,H2,SPY,base,"{'target_delta': 0.65, 'dte_target': 60, 'dte_lo': 40, 'dte_hi': 70, 'roll_dte': 21, 'budget_pct': 0.15}",0.0178,0.1681,0.12,-0.2724,10806.75,26,0.5,609.79,-585.07,1.04,12.36,321.35,-1217.4,1429.1,28.5,0.058,"{2018: -0.1079, 2019: 0.2886, 2020: -0.1669, 2021: 0.1979, 2022: -0.0578}"
H2_SPY_base_780f0db7,H2,SPY,base,"{'target_delta': 0.65, 'dte_target': 60, 'dte_lo': 40, 'dte_hi': 70, 'roll_dte': 21, 'budget_pct': 0.1}",-0.0034,0.0964,-0.1,-0.1819,9848.32,14,0.5,521.64,-611.19,0.85,-44.77,-626.85,-1041.4,721.6,37.5,0.026,"{2018: -0.0351, 2019: 0.1415, 2020: -0.099, 2021: -0.0231, 2022: 0.0161}"
H2_SPY_base_6f9094f2,H2,SPY,base,"{'target_delta': 0.65, 'dte_target': 60, 'dte_lo': 40, 'dte_hi': 70, 'roll_dte': 21, 'budget_pct': 0.06}",0.0123,0.0142,0.09,-0.0175,10552.87,1,1.0,43.6,0.0,inf,43.6,43.6,43.6,43.6,23.0,0.001,"{2018: 0.0131, 2019: 0.021, 2020: 0.0036, 2021: 0.0004, 2022: 0.0161}"
H2_QQQ_base_5f86e700,H2,QQQ,base,"{'target_delta': 0.35, 'dte_target': 60, 'dte_lo': 40, 'dte_hi': 70, 'roll_dte': 21, 'budget_pct': 0.1}",0.1967,0.2648,0.78,-0.2979,22070.56,35,0.543,1286.87,-817.24,1.87,324.99,11374.65,-1731.45,3097.05,30.0,0.066,"{2018: -0.0928, 2019: 0.5974, 2020: 0.3304, 2021: 0.1781, 2022: -0.0276}"
H2_QQQ_base_463ebff5,H2,QQQ,base,"{'target_delta': 0.35, 'dte_target': 60, 'dte_lo': 40, 'dte_hi': 70, 'roll_dte': 21, 'budget_pct': 0.06}",0.1024,0.1596,0.63,-0.1844,15373.42,34,0.559,589.41,-427.22,1.75,140.9,4790.6,-750.9,1208.85,32.5,0.038,"{2018: -0.0515, 2019: 0.2818, 2020: 0.206, 2021: 0.0656, 2022: -0.0157}"
H2_SPY_base_0ba8db84,H2,SPY,base,"{'target_delta': 0.8, 'dte_target': 60, 'dte_lo': 40, 'dte_hi': 70, 'roll_dte': 21, 'budget_pct': 0.06}",0.0113,0.001,0.15,-0.0,10507.96,0,,,,,,,,,,0.0,"{2018: 0.0088, 2019: 0.021, 2020: 0.0036, 2021: 0.0004, 2022: 0.0161}"
H2_QQQ_base_a2dcd313,H2,QQQ,base,"{'target_delta': 0.35, 'dte_target': 60, 'dte_lo': 40, 'dte_hi': 70, 'roll_dte': 21, 'budget_pct': 0.15}",0.2696,0.3898,0.79,-0.3988,28649.19,35,0.543,2167.09,-1457.02,1.77,510.36,17862.45,-3754.5,6194.1,30.0,0.097,"{2018: -0.1642, 2019: 0.8931, 2020: 0.4063, 2021: 0.3782, 2022: -0.0649}"
H2_QQQ_base_f680284e,H2,QQQ,base,"{'target_delta': 0.5, 'dte_target': 60, 'dte_lo': 40, 'dte_hi': 70, 'roll_dte': 21, 'budget_pct': 0.06}",0.069,0.0893,0.68,-0.1406,13419.53,18,0.611,537.69,-434.33,1.95,159.68,2874.3,-603.9,1297.1,28.5,0.02,"{2018: -0.0607, 2019: 0.2415, 2020: 0.0729, 2021: 0.0559, 2022: 0.0161}"
H2_SPY_base_587871a3,H2,SPY,base,"{'target_delta': 0.8, 'dte_target': 60, 'dte_lo': 40, 'dte_hi': 70, 'roll_dte': 21, 'budget_pct': 0.15}",0.0196,0.0759,0.15,-0.1849,10892.58,7,0.714,414.4,-831.65,1.25,58.39,408.7,-1169.9,819.85,31.0,0.019,"{2018: -0.0818, 2019: 0.1628, 2020: 0.0036, 2021: 0.0004, 2022: 0.0161}"
H2_SPY_base_a2a95139,H2,SPY,base,"{'target_delta': 0.8, 'dte_target': 60, 'dte_lo': 40, 'dte_hi': 70, 'roll_dte': 21, 'budget_pct': 0.1}",0.0113,0.001,0.15,-0.0,10507.96,0,,,,,,,,,,0.0,"{2018: 0.0088, 2019: 0.021, 2020: 0.0036, 2021: 0.0004, 2022: 0.0161}"
H2_QQQ_base_1fc1388e,H2,QQQ,base,"{'target_delta': 0.5, 'dte_target': 60, 'dte_lo': 40, 'dte_hi': 70, 'roll_dte': 21, 'budget_pct': 0.1}",0.1392,0.1835,0.75,-0.2003,17769.24,35,0.657,691.05,-728.19,1.82,204.45,7155.8,-1438.15,1831.6,29.0,0.058,"{2018: -0.0793, 2019: 0.3612, 2020: 0.3187, 2021: 0.1292, 2022: -0.0474}"
H2_QQQ_base_87f2afb3,H2,QQQ,base,"{'target_delta': 0.5, 'dte_target': 60, 'dte_lo': 40, 'dte_hi': 70, 'roll_dte': 21, 'budget_pct': 0.15}",0.1996,0.26,0.8,-0.2872,22314.24,36,0.639,1165.3,-1167.06,1.77,323.06,11630.15,-2876.3,4041.3,28.5,0.083,"{2018: -0.1193, 2019: 0.6042, 2020: 0.3136, 2021: 0.3097, 2022: -0.0814}"
H2_QQQ_base_a884a0ea,H2,QQQ,base,"{'target_delta': 0.65, 'dte_target': 60, 'dte_lo': 40, 'dte_hi': 70, 'roll_dte': 21, 'budget_pct': 0.15}",0.1197,0.2015,0.62,-0.2557,16464.9,35,0.657,750.25,-948.15,1.52,167.94,5877.85,-2318.9,2331.1,28.0,0.077,"{2018: -0.0883, 2019: 0.3537, 2020: 0.2523, 2021: 0.201, 2022: -0.1127}"
H2_QQQ_base_780f0db7,H2,QQQ,base,"{'target_delta': 0.65, 'dte_target': 60, 'dte_lo': 40, 'dte_hi': 70, 'roll_dte': 21, 'budget_pct': 0.1}",0.0236,0.0972,0.18,-0.1626,11083.39,15,0.6,468.96,-604.86,1.16,39.43,591.5,-901.15,894.1,30.0,0.026,"{2018: -0.0832, 2019: 0.2391, 2020: -0.0399, 2021: 0.0004, 2022: 0.0161}"
H2_QQQ_base_6f9094f2,H2,QQQ,base,"{'target_delta': 0.65, 'dte_target': 60, 'dte_lo': 40, 'dte_hi': 70, 'roll_dte': 21, 'budget_pct': 0.06}",0.0256,0.0405,0.38,-0.0525,11179.75,5,0.6,382.1,-241.77,2.37,132.55,662.75,-347.9,696.1,25.0,0.005,"{2018: -0.0049, 2019: 0.0846, 2020: 0.0191, 2021: 0.0004, 2022: 0.0161}"
H2_IWM_base_463ebff5,H2,IWM,base,"{'target_delta': 0.35, 'dte_target': 60, 'dte_lo': 40, 'dte_hi': 70, 'roll_dte': 21, 'budget_pct': 0.06}",-0.0077,0.1324,-0.08,-0.2293,9661.41,33,0.273,560.7,-244.08,0.86,-24.6,-811.65,-439.95,2576.85,25.0,0.028,"{2018: -0.0159, 2019: -0.0262, 2020: 0.1473, 2021: -0.0781, 2022: -0.0464}"
H2_QQQ_base_a2a95139,H2,QQQ,base,"{'target_delta': 0.8, 'dte_target': 60, 'dte_lo': 40, 'dte_hi': 70, 'roll_dte': 21, 'budget_pct': 0.1}",0.0253,0.0324,0.45,-0.0554,11163.97,3,0.667,530.85,-417.65,2.54,214.68,644.05,-417.65,646.35,22.0,0.004,"{2018: 0.0088, 2019: 0.0674, 2020: 0.02, 2021: 0.0004, 2022: 0.0161}"
