run_id,hyp,symbol,scenario,params,cagr,ann_vol,sharpe,max_drawdown,final_equity,n_trades,win_rate,avg_win,avg_loss,profit_factor,ev_per_trade,total_pnl,worst_trade,best_trade,median_holding_days,util,yearly
H5_XLF_base_ec0c9aca,H5,XLF,base,"{'target_delta': -0.2, 'dte_target': 35, 'dte_lo': 25, 'dte_hi': 50, 'profit_take': 1.1, 'manage_dte': 7, 'budget_frac': 0.8}",0.0341,0.0638,0.54,-0.1132,11593.03,33,1.0,25.87,0,inf,25.87,853.7,9.35,58.35,32.0,0.267,"{2018: -0.0218, 2019: 0.079, 2020: 0.0064, 2021: 0.064, 2022: 0.0256}"
H5_XLF_base_6122412d,H5,XLF,base,"{'target_delta': -0.2, 'dte_target': 35, 'dte_lo': 25, 'dte_hi': 50, 'profit_take': 0.5, 'manage_dte': 7, 'budget_frac': 0.8}",0.0276,0.0629,0.42,-0.083,11277.18,52,1.0,18.91,0,inf,18.91,983.15,5.1,45.05,19.0,0.258,"{2018: -0.0311, 2019: 0.0884, 2020: 0.0261, 2021: 0.0332, 2022: 0.0086}"
H5_XLF_base_4e305c35,H5,XLF,base,"{'target_delta': -0.25, 'dte_target': 35, 'dte_lo': 25, 'dte_hi': 50, 'profit_take': 1.1, 'manage_dte': 7, 'budget_frac': 0.8}",0.0319,0.0651,0.49,-0.1024,11480.83,35,1.0,31.52,0,inf,31.52,1103.35,15.55,57.85,34.0,0.271,"{2018: -0.0204, 2019: 0.0813, 2020: 0.0206, 2021: 0.05, 2022: 0.0115}"
H5_XLF_base_233feea3,H5,XLF,base,"{'target_delta': -0.25, 'dte_target': 35, 'dte_lo': 25, 'dte_hi': 50, 'profit_take': 0.5, 'manage_dte': 7, 'budget_frac': 0.8}",0.0309,0.0684,0.45,-0.1022,11436.43,45,1.0,22.45,0,inf,22.45,1010.35,6.1,49.05,20.0,0.266,"{2018: -0.029, 2019: 0.0893, 2020: 0.0183, 2021: 0.0736, 2022: -0.0109}"
H5_XLF_base_9c1b0320,H5,XLF,base,"{'target_delta': -0.3, 'dte_target': 35, 'dte_lo': 25, 'dte_hi': 50, 'profit_take': 0.5, 'manage_dte': 7, 'budget_frac': 0.8}",0.0289,0.0716,0.4,-0.1179,11335.84,40,1.0,24.93,0,inf,24.93,997.35,9.55,56.05,26.5,0.273,"{2018: -0.029, 2019: 0.0861, 2020: 0.0022, 2021: 0.0846, 2022: -0.0111}"
H5_XLF_base_06dfc5ec,H5,XLF,base,"{'target_delta': -0.3, 'dte_target': 35, 'dte_lo': 25, 'dte_hi': 50, 'profit_take': 1.1, 'manage_dte': 7, 'budget_frac': 0.8}",0.0218,0.0705,0.28,-0.1182,10997.1,28,1.0,34.41,0,inf,34.41,963.5,15.55,59.55,34.0,0.279,"{2018: -0.0204, 2019: 0.0813, 2020: 0.0019, 2021: 0.0632, 2022: -0.0253}"
