symbol,signal,horizon,n_days,n_episodes,pct_days,cond_mean,uncond_mean,diff_ci90_lo,diff_ci90_hi,cond_p_gt5,uncond_p_gt5,cond_p_gt10,uncond_p_gt10,cond_p_lt_m10,uncond_p_lt_m10,cond_vol,uncond_vol
QQQ,H1_dd10_zone,21,2494,12,55.1,0.28,0.58,-1.74,1.07,27.9,21.7,8.1,4.8,11.9,6.9,8.6,7.0
QQQ,H1_dd10_zone,42,2494,12,55.1,0.44,1.13,-3.49,2.15,38.7,35.2,17.9,11.6,17.6,10.4,12.3,9.8
QQQ,H1_dd15_ma20,21,837,97,18.5,0.44,0.58,-2.07,1.76,28.9,21.7,6.5,4.8,11.8,6.9,7.9,7.0
QQQ,H1_dd15_ma20,42,837,97,18.5,0.69,1.13,-4.41,4.48,45.9,35.2,18.9,11.6,16.5,10.4,12.3,9.8
QQQ,H1_dd15_ret5,21,508,148,11.2,-0.37,0.58,-2.91,1.0,26.6,21.7,8.5,4.8,16.3,6.9,8.7,7.0
QQQ,H1_dd15_ret5,42,508,148,11.2,-0.72,1.13,-6.44,3.0,40.2,35.2,16.1,11.6,21.7,10.4,13.1,9.8
QQQ,H1_dd15_zone,21,1639,7,36.2,-0.14,0.58,-2.46,1.15,30.1,21.7,10.1,4.8,16.2,6.9,9.7,7.0
QQQ,H1_dd15_zone,42,1639,7,36.2,-0.12,1.13,-5.41,2.44,41.4,35.2,21.4,11.6,21.5,10.4,13.9,9.8
QQQ,H2_above_ma200,21,3181,76,70.3,0.93,0.58,-0.55,1.16,17.6,21.7,2.1,4.8,2.6,6.9,5.0,7.0
QQQ,H2_above_ma200,42,3181,76,70.3,1.81,1.13,-1.04,2.43,33.1,35.2,7.7,11.6,4.9,10.4,7.1,9.8
QQQ,H2_above_ma200_and_ma50,21,2525,145,55.8,0.7,0.58,-0.89,0.97,15.6,21.7,1.5,4.8,2.7,6.9,5.0,7.0
QQQ,H2_above_ma200_and_ma50,42,2525,145,55.8,1.61,1.13,-1.35,2.3,31.4,35.2,6.5,11.6,5.0,10.4,7.0,9.8
QQQ,H4_below_ma200,21,1346,75,29.7,-0.22,0.58,-3.05,1.3,31.4,21.7,11.1,4.8,17.2,6.9,10.2,7.0
QQQ,H4_below_ma200,42,1346,75,29.7,-0.5,1.13,-5.59,2.45,40.0,35.2,20.7,11.6,23.3,10.4,14.3,9.8
QQQ,H3_vix_lt_rv20,21,2392,180,52.8,7.69,3.06,1.04,8.46,,,,,,,16.2,13.9
QQQ,H3_vix_lt_rv20,42,2392,180,52.8,7.9,3.17,-0.21,9.42,,,,,,,16.2,14.1
IWM,H1_dd8_ma20,21,1724,176,38.9,1.33,0.83,-0.43,1.43,24.1,21.6,2.8,3.7,3.3,3.9,5.5,5.9
IWM,H1_dd8_ma20,42,1724,176,38.9,1.85,1.62,-1.56,2.3,36.8,33.4,14.0,12.2,7.9,6.9,8.4,8.2
IWM,H1_dd8_ret5,21,815,281,18.4,1.21,0.83,-0.76,1.41,27.1,21.6,3.6,3.7,4.8,3.9,6.3,5.9
IWM,H1_dd8_ret5,42,815,281,18.4,2.1,1.62,-1.7,2.34,40.7,33.4,17.8,12.2,9.0,6.9,9.3,8.2
IWM,H1_dd8_zone,21,2929,16,66.2,1.12,0.83,-0.78,1.31,26.8,21.6,5.1,3.7,5.5,3.9,6.6,5.9
IWM,H1_dd8_zone,42,2929,16,66.2,1.96,1.62,-1.61,2.27,39.5,33.4,16.7,12.2,9.4,6.9,9.4,8.2
IWM,H1_dd10_ma20,21,1411,149,31.9,1.61,0.83,-0.15,1.79,26.3,21.6,3.5,3.7,2.6,3.9,5.4,5.9
IWM,H1_dd10_ma20,42,1411,149,31.9,2.18,1.62,-1.43,2.85,39.5,33.4,16.3,12.2,7.4,6.9,8.7,8.2
IWM,H1_dd10_ret5,21,694,244,15.7,1.37,0.83,-0.68,1.65,29.0,21.6,3.9,3.7,4.6,3.9,6.3,5.9
IWM,H1_dd10_ret5,42,694,244,15.7,2.5,1.62,-1.58,3.14,43.2,33.4,19.7,12.2,7.8,6.9,9.3,8.2
IWM,H1_dd10_zone,21,2422,12,54.7,1.2,0.83,-0.8,1.54,28.1,21.6,5.7,3.7,5.7,3.9,6.8,5.9
IWM,H1_dd10_zone,42,2422,12,54.7,2.27,1.62,-1.59,2.82,42.0,33.4,18.7,12.2,9.0,6.9,9.6,8.2
IWM,H1_dd15_ma20,21,856,90,19.3,1.74,0.83,-0.19,2.09,31.5,21.6,5.7,3.7,3.2,3.9,6.0,5.9
IWM,H1_dd15_ma20,42,856,90,19.3,2.35,1.62,-2.0,3.76,41.7,33.4,21.6,12.2,9.5,6.9,9.8,8.2
IWM,H1_dd15_ret5,21,461,155,10.4,1.47,0.83,-0.87,2.03,33.8,21.6,5.9,3.7,5.4,3.9,7.0,5.9
IWM,H1_dd15_ret5,42,461,155,10.4,2.61,1.62,-2.0,3.66,45.1,33.4,25.6,12.2,9.5,6.9,10.5,8.2
IWM,H1_dd15_zone,21,1492,8,33.7,1.42,0.83,-0.86,1.97,32.6,21.6,8.5,3.7,6.0,3.9,7.5,5.9
IWM,H1_dd15_zone,42,1492,8,33.7,2.77,1.62,-1.65,3.86,45.2,33.4,24.4,12.2,9.6,6.9,10.8,8.2
IWM,H2_above_ma200,21,2975,77,67.2,0.73,0.83,-0.91,0.69,16.6,21.6,2.0,3.7,1.8,3.9,5.0,5.9
IWM,H2_above_ma200,42,2975,77,67.2,1.34,1.62,-1.81,1.41,29.6,33.4,8.3,12.2,5.2,6.9,7.3,8.2
IWM,H2_above_ma200_and_ma50,21,2337,143,52.8,0.56,0.83,-1.14,0.54,14.3,21.6,0.9,3.7,1.8,3.9,4.7,5.9
IWM,H2_above_ma200_and_ma50,42,2337,143,52.8,1.38,1.62,-1.81,1.42,29.0,33.4,7.4,12.2,4.0,6.9,6.9,8.2
IWM,H4_below_ma200,21,1252,77,28.3,1.38,0.83,-1.09,1.84,33.6,21.6,8.0,3.7,8.2,3.9,7.7,5.9
IWM,H4_below_ma200,42,1252,77,28.3,2.85,1.62,-1.69,3.44,45.5,33.4,22.7,12.2,10.1,6.9,10.2,8.2
IWM,H3_vix_lt_rv20,21,2640,210,59.6,2.35,1.26,-0.63,3.03,,,,,,,9.2,8.9
IWM,H3_vix_lt_rv20,42,2640,210,59.6,2.09,1.49,-1.85,2.98,,,,,,,10.0,10.0
